Data Source name,Date,Campaign Name,Campaign Effective Status,Ad Set Name,Ad Name,Country Funnel,Geo Location Segment,FB Spent Funnel (INR),Amount Spent (INR),Clicks (all),Impressions,Page Likes,Landing Page Views,Link Clicks,Adds to Cart,Checkouts Initiated,Adds of Payment Info,Purchases,Purchases Conversion Value (INR),Website Contacts,Messaging Conversations Started,Adds to Cart Conversion Value (INR),Checkouts Initiated Conversion Value (INR),Adds of Payment Info Conversion Value (INR),Row Count,Ad Account ID,Ad Effective Status,Ad set Effective Status,Campaign Objective,Campaign Result Type,Campaign Result value,Country,Ad set Start Time,Ad Start Time,Campaign Start Time,Ad End Time,Ad set End Time,Campaign End Time,Month,ROAS
XYZ Luxury,2026-08-21,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Lal | Cd 1%,Catalog | Under 10K | Curated Collection,India,India,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1,1698880000000000.0,PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T15:34:26+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-22,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Lal | Cd 1%,Catalog | Under 10K | Curated Collection,India,India,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1,1698880000000000.0,PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T15:34:26+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-21,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Lal | Cd 1%,Catalog _Intro | Multi_Category | Flat 40% Off,India,India,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1,1698880000000000.0,PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T15:34:26+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-22,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Lal | Cd 1%,Catalog _Intro | Multi_Category | Flat 40% Off,India,India,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1,1698880000000000.0,PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T15:34:26+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-27,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Lal | Cd 1%,Catalog | Carousel | Bundle Offer 4999 | PLP,India,India,0.0,0.0,0,0,,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,1,1698880000000000.0,ADSET_PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T15:34:26+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-15,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Persona | Adv+,Catalog | Under 10K | Curated Collection,India,India,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1,1698880000000000.0,ADSET_PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T16:18:11+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-20,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Persona | Adv+,Catalog _Intro | Multi_Category | Flat 40% Off,India,India,0.0,0.0,0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1,1698880000000000.0,ADSET_PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T16:18:11+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-10,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Persona | Beauty,Catalog | Under 10K | Curated Collection,India,India,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1,1698880000000000.0,ADSET_PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T16:09:36+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-15,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Persona | Beauty,Catalog | Under 10K | Curated Collection,India,India,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1,1698880000000000.0,ADSET_PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T16:09:36+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-24,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Persona | Beauty,Catalog _Intro | Multi_Category | Flat 40% Off,India,India,0.0,0.0,0,0,,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,1,1698880000000000.0,ADSET_PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T16:09:36+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-22,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Persona | Adv+,Catalog _Intro | Multi_Category | Flat 40% Off,India,India,0.01,0.01,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1,1698880000000000.0,ADSET_PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T16:18:11+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-07,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Persona | Adv+,Catalog | Under 10K | Curated Collection,India,India,0.1,0.1,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1,1698880000000000.0,ADSET_PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T16:18:11+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-06,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Lal | Cd 1%,Catalog | Under 10K | Curated Collection,India,India,0.5,0.5,0,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1,1698880000000000.0,PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T15:34:26+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-20,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Lal | Cd 1%,Catalog _Intro | Multi_Category | Flat 40% Off,India,India,0.51,0.51,0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1,1698880000000000.0,PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T15:34:26+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-11,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Lal | Cd 1%,Catalog | Under 10K | Curated Collection,India,India,0.68,0.68,0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1,1698880000000000.0,PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T15:34:26+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-07,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Persona | Beauty,Catalog | Under 10K | Curated Collection,India,India,1.54,1.54,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1,1698880000000000.0,ADSET_PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T16:09:36+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
XYZ Luxury,2026-08-16,Conv | Tof | Multi_Category | Ind | Direct | Growify,PAUSED,Ind | Lal | Cd 1%,Catalog | Under 10K | Curated Collection,India,India,1.96,1.96,0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1,1698880000000000.0,PAUSED,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,2026-08-03T15:34:26+0530,,2026-08-03T15:34:26+0530,,,,2026-08,0.0
